# ============================================
# ФРАЗЫ ДЛЯ ВСЕОБЩЕГО ПРИЗНАНИЯ
# Формат: ДНИ_СТРИКА|ТЕКСТ
# ============================================

7|Ты уже неделю в игре! Это не случайность, это характер! 🔥
7|7 дней — и ты стал частью экосистемы. Дори гордится тобой! 🦊
7|Неделя пролетела, а ты всё ещё здесь. Кто бы мог подумать! 😏
7|Твой первый серьёзный рубеж. Дальше будет только сложнее! 💪

14|Две недели! Ты уже не новичок, ты — боец! ⚔️
14|14 дней дисциплины — это больше, чем у 90% людей. Красава! 🎯
14|Я начинаю верить в тебя. Продолжай в том же духе! 🦊
14|Половинка месяца — это уже серьёзно. Не останавливайся! 🚀

31|Месяц! Ты официально не случайный человек в этом чате. 🏆
31|31 день — это привычка. Твоя новая суперсила! ⚡
31|Месяц назад ты был Новичком. Теперь ты — легенда в процессе создания! 🌟
31|Поздравляю! Ты выдержал месяц. Большинство сдаются на второй неделе! 😈

99|99 дней! Почти сотня! Ты — машина дисциплины! 🤖
99|От 1 до 99 — твой путь достоин отдельной книги. 📖
99|99 дней — это не стрик, это образ жизни. Ты в 1% лучших! 💎
99|Я снимаю шляпу перед тобой. 99 дней — это мощь! 🎩

356|ГОД! Ты не человек, ты — легенда! 👑
356|365 дней почти прошло. Ты — живое доказательство того, что дисциплина работает! 🏅
356|Год стрика! Ты заслуживаешь памятник в этом чате! 🗿
356|Ты сделал это! Целый год. Никто не сможет отнять у тебя это достижение! 🦊🔥
